Q27331	GO:0005886,GO:0033181,GO:0005774,GO:0000221
Q7KML2	GO:0005777
Q7PLP5	GO:0005773
Q8IPI2	
Q8IQG0	
Q8MR33	GO:0005737
Q95RB1	GO:0071013,GO:0005634,GO:0071011,GO:0000974,GO:0071006,GO:0071007
Q960E8	GO:0005634,GO:0000439,GO:0005675
Q9U1I1	
Q9U1L6	
Q9V3H0	GO:0005737,GO:0000790
Q9VAE4	GO:0016021
Q9VAE7	
Q9VBD2	GO:0031012
Q9VFF6	
Q9VHC3	GO:0005623,GO:0005925
Q9VIY5	
Q9VNS0	GO:0005737,GO:0005634,GO:0048471,GO:0043186
Q9VPD7	
Q9VRQ1	
Q9VS38	GO:0070847,GO:0016592,GO:0005634
Q9VS50	GO:0000790
Q9VSY9	GO:0016602
Q9VTP5	
Q9VVB4	
Q9VVC3	GO:0031012
Q9VWS0	GO:0000123,GO:0035267,GO:0005634,GO:0000812
Q9VX48	
Q9VY42	
Q9VZI1	GO:0005865
Q9W0J2	GO:0005829
Q9W526	GO:0000307,GO:0005634
Q9XZU7	GO:0005634,GO:0005669
Q9Y117	GO:0005794,GO:0000139,GO:0005795,GO:0016021
X2JDY8	GO:0031410
A1Z6Q2	
Q9VEB9	GO:0005634
A1Z6R4	GO:0005615
P05389	GO:0022625,GO:0022626
P29844	GO:0005737,GO:0012505,GO:0005783,GO:0034663,GO:0005788,GO:0005615,GO:0016020,GO:0005634
Q9V411	GO:0005730
Q9VIM1	
Q9VZ12	
Q9W2G8	GO:0005777
Q9Y125	GO:0005776,GO:0045169,GO:0005770,GO:0005764
A1Z6R7	GO:0016020
A1Z6S7	GO:0005829,GO:0005886
P48555	GO:0032154,GO:0090543,GO:0005622,GO:0005886
Q9VMC7	GO:0016459
Q9VUI3	GO:0005737,GO:0005874,GO:0015630,GO:0071683
A1Z6U3	GO:0016021,GO:0005887
Q9VL91	GO:0005634
Q9VR57	GO:0016021
Q9W2F0	GO:0005634
A1Z6V5	GO:0005615
Q8SWW4	
A1Z6W3	GO:0030424,GO:0005737,GO:0005829,GO:0016020,GO:0005886
Q9VWT5	GO:0033063,GO:0005657
A1Z6W5	GO:0005737,GO:0005634
A1Z705	GO:0030176
P49866	GO:0005634
Q27350	GO:0005634,GO:0005667
Q9V444	GO:0005671,GO:0008623,GO:0008622
