A0A0B4JD44	GO:0034976
Q9Y103	GO:0000398,GO:0000390
X2JDN0	GO:0007628,GO:0048036,GO:0007629,GO:0006886,GO:0016319,GO:0007614
A0A0B4LH08	GO:0090630,GO:0006886,GO:0043087
Q7JZZ3	
A0A0B7P9G0	GO:0006873
Q9VSY8	GO:0033227,GO:0006888,GO:0006891,GO:0016192
A0A0C4DHA6	GO:0045475,GO:0000289,GO:0009416
Q9VCU8	
Q9VX24	GO:0000278
Q9W255	GO:0000398
A0A0C4DHB0	
P49071	GO:0035556,GO:0018105,GO:0045793,GO:0006468,GO:0046328,GO:0009651
Q9V3G9	
Q9V468	
Q9V4F4	GO:0048468,GO:0016319,GO:0010862,GO:0042981,GO:0043408,GO:0060395
Q9VAU6	
Q9VSP8	GO:0017148
A0A0C4DHD7	GO:0007155,GO:0007266
A1ZBT3	
P02517	GO:0061077,GO:0009631,GO:0008340,GO:0042026,GO:0009408
Q23993	GO:0048749,GO:0001736,GO:0042332,GO:0007476,GO:0007474,GO:0035556,GO:0016318,GO:0045887,GO:0046777,GO:0006468,GO:0010468
Q24175	GO:0000915,GO:0007349
Q4V5L1	
Q7KUU5	GO:0042246
Q7KWG9	GO:0010468
Q9VK21	
Q9VV44	GO:0040003
Q9VYQ8	GO:0006342,GO:0016578,GO:0016579,GO:0051090,GO:0031647,GO:0006511
A0A126GUP6	GO:0035006,GO:0006508,GO:0009620
Q9VU13	
A0AQH0	GO:0010498,GO:0010499,GO:0043161
O61443	GO:0071243,GO:0071276,GO:0071310,GO:0034614,GO:0007623,GO:0042742,GO:0050832,GO:0008340,GO:0003007,GO:0007476,GO:0006955,GO:0035556,GO:0000165,GO:0038001,GO:0045793,GO:0040018,GO:0001934,GO:0006468,GO:0072593,GO:0048082,GO:0030510,GO:1900407,GO:0010468,GO:0045088,GO:2000331,GO:0009617,GO:0009408,GO:0042542,GO:0009651,GO:0042594
Q0E8X9	GO:0051603
Q9VHG1	GO:0097352,GO:0009267,GO:0016197,GO:0034058,GO:0008333,GO:0008057,GO:0006886,GO:0007041,GO:0045746,GO:0035542,GO:0007033
A0AVV3	GO:0007275,GO:0006355
O18404	GO:0006637,GO:0008209,GO:0008205,GO:0008210,GO:0006631,GO:0090646,GO:0090502,GO:0008202
Q94901	GO:0030036,GO:0007623,GO:0007303,GO:0007562,GO:0008062,GO:0009792,GO:0045475,GO:0000278,GO:0045292,GO:0000398,GO:0045804,GO:2000767,GO:0008104,GO:0000381,GO:0042752,GO:0045995
Q9VJN5	GO:0009950,GO:0007311,GO:0008063
Q9VKM6	GO:0016573,GO:0043486,GO:0010629,GO:0006355
Q9VNF6	GO:0030261,GO:0070868
A1A714	GO:0050832,GO:0008039
Q9VIY9	GO:0000122
A1YK56	GO:0000724,GO:0006406,GO:0006606
O44424	GO:0000398,GO:0007399
P02844	GO:0007548
Q95TK5	GO:0006637
Q9VWG6	
Q9W2N5	GO:0043161,GO:0016567,GO:0006511
A1Z6E0	GO:0035017,GO:0046843,GO:0007281,GO:0035556,GO:0007314,GO:0007280,GO:0007315,GO:0045732,GO:0043161,GO:0008104,GO:0006511,GO:0007472
