A0A0B4JD44	GO:0034976
P20240	GO:0007049,GO:0048132,GO:0060250,GO:0030718,GO:0045892,GO:0031468,GO:0048477,GO:0030513
P08970	GO:0006325,GO:0031936,GO:0045892,GO:0035075,GO:0006351
Q9VNL0	GO:0008362,GO:0006030,GO:0040014,GO:0035151
Q9W2I0	
P09040	GO:0008343,GO:0008344,GO:0008345,GO:0033555,GO:0007528,GO:0007218,GO:0007204,GO:0006940,GO:0006939
Q86P36	
Q9VH64	
Q9VK39	
Q7KN61	GO:0045337,GO:0008354
P10379	GO:0007413,GO:0007411
P48149	GO:0002181
Q01645	GO:0007275,GO:0007283,GO:0007288
Q7KN04	
Q8IP91	
Q9VAN0	GO:0006564
Q9VJ80	GO:0006979
Q9VVZ5	
Q9VVZ7	
P09083	GO:0022008,GO:0006355,GO:0007367
P09087	GO:0035225,GO:0048066,GO:0035261,GO:0030540,GO:0035224,GO:0035215,GO:0035263,GO:0008354,GO:0007506,GO:0007507,GO:0007486,GO:0007484,GO:0030539,GO:0008584,GO:0048094,GO:0007494,GO:0009997,GO:0007621,GO:0045705,GO:0045843,GO:0061101,GO:0007424,GO:0007280,GO:1902339,GO:0048087,GO:0045944,GO:0007431,GO:0007379,GO:0007548,GO:0048071,GO:0007385,GO:0046693,GO:0035277
Q7K0S5	GO:0090263
Q8MY02	GO:0048149,GO:0007616,GO:0035207,GO:0007224
Q9VCY3	GO:0036099,GO:0007281,GO:0048140,GO:0007275,GO:0048477,GO:0000338,GO:0050821
Q9VQM4	GO:0007417,GO:0006281,GO:0006302,GO:0045197,GO:0000012
Q9W074	GO:0050829,GO:0045089,GO:0016441,GO:0006412
P40320	GO:0008340,GO:0006730,GO:0006556
Q9V3C8	GO:0007298,GO:0001751,GO:0008069,GO:0007173,GO:0007427,GO:0008543,GO:0007474,GO:0035556,GO:0035011,GO:0008078,GO:1904263,GO:1905815,GO:0007362,GO:0008293,GO:0007426,GO:0048010
Q9VAQ9	GO:0009058
Q9VPY0	GO:0034472
S5M1F0	GO:0007602,GO:0018298,GO:0007601
P09208	GO:0007568,GO:0007411,GO:0005975,GO:0030154,GO:0007166,GO:0009267,GO:0042632,GO:0007623,GO:0008340,GO:0048589,GO:0009792,GO:0001700,GO:0055116,GO:0048132,GO:0036099,GO:0008585,GO:0060180,GO:0007390,GO:0042078,GO:0060250,GO:0042593,GO:0007446,GO:0008286,GO:0036335,GO:0055088,GO:0006629,GO:0007626,GO:0048133,GO:0035264,GO:0007520,GO:0043066,GO:0010507,GO:0042321,GO:2000252,GO:0090278,GO:0009968,GO:0007399,GO:0007424,GO:0030707,GO:0030307,GO:0008284,GO:0045793,GO:0070374,GO:0070346,GO:0010884,GO:0040018,GO:1904801,GO:0046622,GO:0014068,GO:1904263,GO:0007285,GO:0046777,GO:0051290,GO:0006468,GO:0042127,GO:0040014,GO:0046620,GO:2000377,GO:0034059,GO:0042220,GO:0006979,GO:0007525,GO:0070328
P09957	GO:0048067,GO:0048066,GO:0048065,GO:0060179,GO:0042438,GO:0006583,GO:0048082
P34739	GO:0006353,GO:0007143,GO:0034454,GO:0007283
Q9V3F2	GO:0007444,GO:0030148
Q9V9Z8	
Q9VKG1	
Q9VYQ0	GO:1990511,GO:0045944
Q9W0J9	
Q9W3Y1	GO:0006270,GO:0000727,GO:0007307,GO:0001700,GO:0007113,GO:0016572,GO:0018105,GO:0018107,GO:0045740
P48612	GO:0001745,GO:0048132,GO:0008315,GO:0030718,GO:0007141,GO:0051321,GO:0051078,GO:0000212,GO:0070651,GO:0070966,GO:0070481,GO:0016441,GO:0032790,GO:0071025,GO:0048137
P98163	GO:0048477
Q4QQ70	GO:0009838,GO:0044878
Q9N675	GO:0007155,GO:0007593,GO:0048526,GO:0035002,GO:0035331,GO:0045805,GO:0045572,GO:0046622,GO:0007430
Q9VDJ7	
Q9VJY9	GO:0007417,GO:0009047,GO:0048132,GO:0030718,GO:0010586,GO:0031054,GO:0030422,GO:0070918,GO:0070920
Q9VT88	GO:0007268,GO:0017121
P10083	GO:0007417,GO:0008407,GO:0061331,GO:0061382,GO:0007399,GO:0007400,GO:0030182,GO:0007422,GO:0045893,GO:0045944,GO:0002805,GO:0007346,GO:0050767,GO:0006355,GO:0006357,GO:0007423,GO:0007419
Q01068	GO:0030154,GO:0048749,GO:0007219,GO:0002052,GO:0050767,GO:0001756
Q9VRB7	
P10084	GO:0007417,GO:0022416,GO:0008407,GO:0035883,GO:0061382,GO:0043066,GO:0007399,GO:0007400,GO:0030182,GO:0007422,GO:0045944,GO:0007346,GO:0050767,GO:0006355,GO:0006357,GO:0007423,GO:0007530,GO:0007540,GO:0007419
P18491	GO:0008283,GO:0008407,GO:0030381,GO:0007623,GO:0042675,GO:0046843,GO:0007391,GO:0008258,GO:0007476,GO:0008586,GO:0007494,GO:0043392,GO:0045665,GO:0045892,GO:0000122,GO:0030182,GO:0046552,GO:0007458,GO:0048056,GO:0045466,GO:0007460,GO:0051726,GO:0007530,GO:0007541
Q9VAT0	GO:0000147,GO:0051666,GO:0030048,GO:0003383,GO:0034314,GO:0008356,GO:0007413,GO:0007409,GO:0035212,GO:0045165,GO:0008407,GO:0072583,GO:0035017,GO:0006897,GO:0009913,GO:0006886,GO:0001578,GO:0016203,GO:0007520,GO:0045886,GO:0051127,GO:2000601,GO:0030833,GO:0016476,GO:0008582,GO:0007423,GO:0007286,GO:0006900
Q9VBL2	GO:0048190
Q9VV43	GO:0001578,GO:0000226,GO:0046785,GO:0032273
P10383	GO:0019099,GO:0007281,GO:0048477,GO:0032877,GO:0016579
P10552	GO:0008344,GO:0002209,GO:0008345,GO:0045822,GO:0010459,GO:0007218,GO:1900075,GO:0006942
P10676	GO:0016062,GO:0007010,GO:0016059,GO:0033227,GO:0006886,GO:0045494,GO:0007602,GO:0007604,GO:0007603,GO:0008104,GO:1990146,GO:0006468,GO:0009416,GO:0007601
Q9VN91	GO:0007602,GO:0048678,GO:1901555,GO:0007601
Q9VVE2	GO:0048149
Q962S2	GO:0002181,GO:0006412
Q9VWR1	GO:0030042
Q7K2G1	GO:0043248,GO:0043161,GO:0006511
Q9V3G6	GO:0031047,GO:0006402,GO:0017148
Q9V3I1	GO:0006226,GO:0046081,GO:0046080
Q9VML9	GO:0007186
Q9W2U9	GO:0050911,GO:0007165
Q9W4K0	GO:0006888,GO:0007030,GO:0048193,GO:0006886,GO:0048042,GO:0035220,GO:0061355
Q9W533	GO:0007186
Q86BG1	GO:0061098
Q9VW66	
Q9W2L7	GO:0071805
Q24216	GO:0000278,GO:0045944,GO:0012501,GO:0001111,GO:0006468,GO:0000079,GO:0006366
Q9W0B2	
Q9W3N7	GO:0006120
P11420	GO:0008407,GO:0030237,GO:0061382,GO:0007400,GO:0061101,GO:0048663,GO:0048477,GO:0007422,GO:0045666,GO:0045893,GO:0045944,GO:0007423,GO:0035019
P43248	GO:0007050,GO:0006302,GO:0036297,GO:0031573,GO:0042771,GO:0043570,GO:0006311,GO:0000710,GO:0006298,GO:0006312,GO:0045128,GO:0051096,GO:0006301,GO:0006290,GO:0043111,GO:0010224,GO:0010165
Q9VGJ5	GO:0045892,GO:0006355
Q9VZ73	GO:0000209,GO:0006511
Q9W4X2	GO:0006357
P11449	GO:0048477,GO:0007305
P11450	
P24156	GO:0071456,GO:0007275
Q8IRI6	GO:0048085,GO:0008643,GO:0042593,GO:0090277
Q8MR83	GO:0001556,GO:0001952
Q9NBD7	GO:0051315,GO:0007411,GO:0007282,GO:0040001,GO:0035099,GO:0000278,GO:0000070,GO:0090307,GO:0000022,GO:0007052,GO:0046580,GO:0016325,GO:0048477,GO:0030723,GO:0031116,GO:0046602,GO:0051225,GO:0007051,GO:0019827
Q9VK61	
Q9VKX4	GO:0032543,GO:0000028,GO:0006412
Q9VMI8	
Q7KMM4	GO:0005975
Q9V3P3	GO:0000398,GO:0010950,GO:2000045,GO:0061136
Q9VBH6	
Q9VTD2	
P11584	GO:0007015,GO:0007475,GO:0007411,GO:0007298,GO:0016339,GO:0016340,GO:0033627,GO:0007160,GO:0016477,GO:0031589,GO:0007417,GO:0021551,GO:0008340,GO:0007391,GO:0035001,GO:0007629,GO:0007377,GO:0030718,GO:0035099,GO:0007157,GO:0048803,GO:0007229,GO:0007508,GO:0035160,GO:0007494,GO:0016203,GO:0007517,GO:0030336,GO:0003344,GO:0090129,GO:0008360,GO:0051492,GO:0007431,GO:0045214,GO:0007608,GO:0034446,GO:0006930,GO:0007419,GO:0007601
P11596	GO:0030154,GO:1990399,GO:0030237,GO:0046660,GO:0019101,GO:0045433,GO:0000398,GO:0017148,GO:2000035,GO:0008380,GO:0007530,GO:0007548,GO:0018993,GO:0000245
Q9VAC1	GO:0006084
Q9VLX3	
Q9VP13	GO:0098586,GO:1903705,GO:1900370
P11956	GO:0055065,GO:0010038
P12080	GO:0007475,GO:0007414,GO:0007411,GO:0007298,GO:0033627,GO:0098609,GO:0007160,GO:0016477,GO:0021551,GO:0035099,GO:0007157,GO:0007476,GO:0007229,GO:0035160,GO:0045185,GO:0007494,GO:0016203,GO:0030239,GO:0051492,GO:0007431,GO:0007435,GO:0045214,GO:0007608,GO:0034446,GO:0007419
P12297	GO:0000395
Q9VES0	
Q9VKV8	GO:0060271,GO:0044782,GO:0040011,GO:0000398,GO:1902093,GO:0018094,GO:0007288,GO:0007291
P12370	GO:0007615,GO:0007448,GO:0048149,GO:0019933,GO:0071361,GO:0048749,GO:0007480,GO:0007476,GO:0007612,GO:0007611,GO:0045475,GO:0007613,GO:0050804,GO:0045879,GO:0008355,GO:0007314,GO:0008103,GO:0048477,GO:0010628,GO:0007228,GO:0006468,GO:2000249,GO:0042981,GO:0008359,GO:0045187,GO:0007317,GO:0007622,GO:0048682,GO:0040040
P12426	GO:0006168,GO:0044209,GO:0006166
Q9W445	GO:0001731,GO:0045948,GO:0002188
P12613	GO:0030707,GO:0006457
Q0E8Q7	GO:0006869
P12646	GO:0051156,GO:0006006,GO:0006739,GO:0006098
P12881	GO:0010498,GO:0010499,GO:0043161,GO:0007370
Q9V5C6	GO:0030707,GO:0010498,GO:0010499,GO:0043161
Q0E9G3	GO:0070286,GO:0060285
Q4QPV3	
Q9V3C7	GO:0035308,GO:0043666,GO:0009966
Q9V7W9	GO:0007411,GO:0035308,GO:0035196
Q9VF13	GO:0007098,GO:0030010,GO:0031023,GO:0001764,GO:0035148
Q9VGJ2	GO:0035308
Q9VIB1	
P13002	GO:0040003,GO:0008362,GO:0003382,GO:0008543,GO:0007402,GO:0061024,GO:0007399,GO:0007424,GO:0045944,GO:0007464,GO:0042127,GO:0050767,GO:0006357,GO:0035159,GO:0061041,GO:0042052,GO:0007426,GO:0007419
Q23976	GO:0071480,GO:0071481,GO:0006310,GO:0006303,GO:0000723
Q7KNA0	GO:0007030
Q7KVQ0	GO:0031118,GO:0000454
Q8I0G5	GO:0035147,GO:0008362,GO:0006888,GO:0030198,GO:0006886,GO:0006891,GO:0007436,GO:0035149,GO:0007112,GO:0000281,GO:0007424,GO:0072384,GO:0009306,GO:0010883,GO:0035158
Q8T4C9	
Q9VT67	GO:0016070
Q9W3M3	GO:0043066,GO:0034126,GO:0045880,GO:0051865,GO:0070936,GO:0016567,GO:0071596
P15425	GO:0006458,GO:0070059,GO:0006491,GO:0007602,GO:0007603,GO:0006517,GO:0016063,GO:0007601
P54356	GO:0010629,GO:0030510,GO:0017015,GO:0007354
Q9V3U2	GO:0000469,GO:0000470,GO:0031118,GO:0031120,GO:0006412
Q9VDU3	GO:0006633
Q9VDU4	GO:0006633
Q9VEI9	GO:0030154,GO:0045892,GO:0007399
Q9VW25	GO:0031648,GO:0006511,GO:0016055
P13095	GO:0001708,GO:0007399,GO:0007219,GO:0007423
Q9VKC4	GO:0007474,GO:0007265
Q9VQF7	GO:0048149
Q9VMM4	
Q9VQ77	GO:0006355,GO:0006351
Q9VTT2	GO:2000736
Q9VXL5	GO:0006357
Q9Y104	
P13217	GO:0008344,GO:0019722,GO:0071482,GO:0016059,GO:0001580,GO:0006651,GO:0009649,GO:0043153,GO:0008377,GO:0016042,GO:0002385,GO:0046673,GO:0046488,GO:0008654,GO:0006644,GO:0045494,GO:0007602,GO:2000370,GO:0051482,GO:0016056,GO:0043052,GO:0007601
Q9VGW6	GO:0030261,GO:0032508,GO:0042023,GO:0006270,GO:0051321,GO:0000712
Q8T8R6	
Q9VL44	GO:0010951
Q9VXQ0	GO:0032543,GO:0006412
X2JEE5	
P13469	GO:0008283
P13496	GO:0019896,GO:0048675,GO:0001709,GO:0007349,GO:0051642,GO:0051299,GO:0001751,GO:0042051,GO:0045198,GO:0061670,GO:0001754,GO:0006886,GO:0051383,GO:0035149,GO:0035011,GO:0007018,GO:0000278,GO:0051256,GO:0051028,GO:0050772,GO:0034501,GO:0008090,GO:1990049,GO:0048491,GO:0042052,GO:0016330,GO:0051225,GO:0048489
Q9VKU4	
P13582	GO:0009950,GO:0009953,GO:0007311,GO:0006508,GO:0008063,GO:0007370
P23938	
P13677	GO:0016062,GO:0019722,GO:0016477,GO:0016059,GO:0050962,GO:0008585,GO:0035556,GO:0018105,GO:0030845,GO:0007602,GO:2000370,GO:0006468,GO:0045471,GO:0009416,GO:0007601
Q9VVH0	GO:0032869,GO:0006096,GO:0042866
C0HKF8	GO:0006508
C0HKF7	GO:0006508
Q24255	GO:0048513,GO:0008407,GO:0001751,GO:0007455,GO:0008057,GO:0007479,GO:0045892,GO:0000122,GO:0007399,GO:0006357,GO:0050896,GO:0008052,GO:0009888,GO:0007601
Q9I7K4	
P13709	GO:0048813,GO:0045892,GO:0032968,GO:0007362
Q9VCX7	GO:0006139,GO:0006412
Q86P18	GO:0055085
Q9VJ43	GO:0015914,GO:0032385
P14318	GO:0007520,GO:1901739
Q9VF85	GO:0070158,GO:0006434
Q9VSH8	GO:0007112,GO:0007031,GO:0007285,GO:0016558,GO:0000209,GO:0007286,GO:0048137
C0HKQ7	GO:0019731,GO:0019835,GO:0050829,GO:0050830,GO:0006959,GO:0045087,GO:0009617
C0HKQ8	GO:0019731,GO:0019835,GO:0050829,GO:0050830,GO:0006959,GO:0045087
P14956	GO:0019731,GO:0042742,GO:0050829,GO:0050830,GO:0006959,GO:0045087
P45843	GO:0015842,GO:0033344,GO:0006856,GO:0006727,GO:0055085
S5M3P7	GO:0055085
Q8MZE0	GO:0009190,GO:0035556
Q9VFA2	GO:0071577
P25159	GO:0008595,GO:0055059,GO:0045167,GO:0045450,GO:0008298,GO:0007616,GO:0007017,GO:0007400,GO:0048477,GO:0007315,GO:0045451,GO:0007318,GO:0007316,GO:0010606,GO:0046012,GO:0045887,GO:0008104,GO:0035418,GO:0046011,GO:0007317,GO:0006403
Q24478	GO:0090202,GO:0007017,GO:0035191,GO:0031937,GO:0051493,GO:0010468
Q400N2	GO:0007098,GO:0060285,GO:0007020,GO:0007605
Q7JZN0	GO:0010507,GO:0031204,GO:0006616
Q7K1C0	GO:0006120
Q7K8Y5	GO:0010951,GO:0060570,GO:0010955
Q8I9J6	GO:0016573,GO:0016575,GO:0007616,GO:0007613,GO:0006355
Q8IQE6	GO:0051764,GO:0051017,GO:0046847,GO:0061024,GO:0007009,GO:2000251,GO:0030838
Q8T390	GO:0000045,GO:0009267,GO:0150007,GO:0006897,GO:0097753,GO:0097749,GO:0097320,GO:0050803,GO:0048488
Q9I7C6	GO:0040003
Q9V3D2	GO:0006783,GO:0019353
Q9VBI3	GO:0016197,GO:0032509,GO:0045324,GO:0045746,GO:0015031,GO:0000920,GO:0043162
Q9VE40	GO:0006030
Q9VF89	GO:0032543,GO:0006412
Q9VG31	GO:0008340,GO:0006108,GO:0055114,GO:0006090,GO:0010941,GO:0030431
Q9VJ11	GO:0032469
Q9VJ14	GO:0046716,GO:0007520,GO:0000209,GO:0016567
Q9VPP7	
Q9VSY4	GO:0071929,GO:0048149,GO:0048666,GO:0070507
Q9VZS5	GO:0002181
Q59DZ7	GO:0030154,GO:0043066,GO:0009968,GO:0070374,GO:0006468
Q9VBD6	GO:0010171,GO:0040003
Q9VZD5	GO:0032543,GO:0006412
Q95SP2	GO:0030968,GO:0036335,GO:0070936,GO:0016567,GO:0036490,GO:0034976,GO:0030970,GO:0030433,GO:0006511
Q9VCR3	GO:0035592,GO:0006858,GO:0090090,GO:0090263,GO:0007367,GO:0048190
Q9VH18	GO:0045892,GO:0010468
Q9VIM6	GO:0006355,GO:0006351
Q9VXZ0	GO:0006120
Q9W3Q2	GO:0006355,GO:0006351
Q86PC9	GO:0016059,GO:0006897,GO:0042593,GO:0061512,GO:0009744,GO:0007605,GO:0070328
P40656	GO:0030154,GO:0048813,GO:0007552,GO:0016322,GO:1904801,GO:1904799,GO:0006355,GO:0006357
Q9VJJ6	GO:0019101,GO:0045944,GO:0006357,GO:0007530,GO:0007541,GO:0007548
Q9VV14	
Q9Y156	GO:0006030
P32030	GO:0009653,GO:0008595,GO:0007350,GO:0030154,GO:0007507,GO:0060914,GO:0001707,GO:0000122,GO:0007366,GO:0010468,GO:0006357,GO:0007380
Q01071	GO:0030154,GO:0048749,GO:0000122,GO:0007219,GO:0048052,GO:0045466,GO:1902692,GO:0050767,GO:0007525,GO:0001756
Q9VDA2	GO:0016477,GO:0007417,GO:0008544,GO:0007483,GO:0007507,GO:0007480,GO:0007501,GO:0007517,GO:0007520,GO:0051450,GO:0042659,GO:0045664,GO:0006355,GO:0007519
Q9VFM2	
Q9VPF9	
Q9VT66	
Q9W4U0	
P16376	GO:0007510,GO:0061331,GO:0007503,GO:0021782,GO:0042593,GO:0007507,GO:0055088,GO:0014019,GO:0007270,GO:0046530,GO:0042331,GO:0046628,GO:0007462,GO:0007464,GO:0007465,GO:0010883,GO:0007419,GO:0007601
Q9V3I2	GO:0048675,GO:0007409,GO:0007298,GO:0007349,GO:0006325,GO:0061883,GO:0048813,GO:0046664,GO:0006897,GO:0034058,GO:0032509,GO:0035088,GO:0016321,GO:0016348,GO:0048803,GO:0006886,GO:0000278,GO:0008285,GO:0007220,GO:0048477,GO:0048227,GO:0032482,GO:0030100,GO:0050803,GO:0048488,GO:0099532,GO:0016189,GO:0016192,GO:0035220
Q9VC60	GO:0000398
Q9VHK9	
Q9VJ57	GO:0007098,GO:0000278,GO:0051726,GO:0007057
Q9VJX7	GO:0006458,GO:0008637,GO:0006915,GO:0007005,GO:0045041,GO:0042026,GO:0006626
P16548	GO:0007610,GO:0032504
Q9VZU4	GO:0072593
Q9W4P4	
P16554	GO:0008356,GO:0055059,GO:0045165,GO:0001709,GO:0007417,GO:0051642,GO:0035050,GO:0008347,GO:0007507,GO:0061382,GO:0042694,GO:0010629,GO:0007406,GO:0045746,GO:0014019,GO:0007400,GO:0007405,GO:0007219,GO:0061320,GO:0045807,GO:0008104,GO:0009786,GO:0051960,GO:1902692,GO:0050767,GO:0008593,GO:0007622,GO:0045035,GO:0016360,GO:0007419
Q8MYW2	GO:0051301,GO:0007059
P16905	GO:0007015,GO:0019933,GO:0019934,GO:0007591,GO:0007274,GO:0008355,GO:0008103,GO:2000253,GO:0045471,GO:0007419
Q9W144	
Q7KM15	GO:0009792,GO:0001700,GO:0060811,GO:0043066,GO:0007318,GO:0070201,GO:0007317
P16914	GO:0007417,GO:0009792,GO:0007281,GO:0031441,GO:0007319,GO:0007399
Q9VYI0	GO:0008049,GO:0050684,GO:0051252
Q9W158	GO:0007616,GO:0045727
P17133	GO:0000398,GO:0048025,GO:0048477,GO:0000381,GO:0043484,GO:0007283
Q06453	GO:0048800,GO:0022416,GO:0035015,GO:0007480,GO:0035218,GO:0045892,GO:0045747
Q9VMY3	
Q9VSB8	GO:0006355,GO:0006351
Q9W1S5	GO:0010498,GO:0010499,GO:0043161
Q9XZ11	
Q9V9X1	GO:0003383,GO:0016476
Q9VLT1	GO:0031532,GO:0007318,GO:0015031
Q9VRI9	GO:0046701,GO:0046680
Q9VYW2	GO:0043069,GO:0045944,GO:0050793,GO:0006355
P92204	GO:0032785,GO:0000122,GO:0034244,GO:0045944,GO:0006368
Q8MRQ2	GO:0048013,GO:0007422
Q9VB95	GO:0040003
Q9VC68	
Q9VF59	GO:0060271
Q9VHN7	GO:0031935
Q9VMI5	GO:0034260
Q9VPM1	
Q9VPN0	
Q9VSL3	GO:0006726,GO:0006749,GO:0055114,GO:0006728
Q9VU96	
Q9W076	GO:0007186
Q9XZ12	
Q9Y137	GO:0006631,GO:0006072,GO:0008654,GO:0034587,GO:0007009,GO:0019432
Q9VA53	GO:0006015,GO:0009116,GO:0009165,GO:0006164
Q9VSV2	GO:0003333,GO:0006836,GO:0007632
Q7JZW2	GO:0002181,GO:0000028
Q86PF4	
Q8IMX7	GO:0019896,GO:0019725,GO:0034643,GO:0000226,GO:0097345,GO:0051646,GO:0007005,GO:0047497,GO:0010821,GO:0007266,GO:0048489
Q9VEF1	GO:0006355
C0HK94	
C0HK92	
C0HK95	GO:0034059
Q9VIT0	GO:0006272,GO:0006298,GO:0070207,GO:0006275,GO:0019985
Q9VNP4	GO:0006355,GO:0006351
Q9VVD0	GO:0042073
Q9VWU7	
Q9W3N8	GO:0001751,GO:0090263,GO:0006468,GO:0007088
Q07152	GO:0007411,GO:0006177,GO:0006183,GO:0006164
Q9VG84	GO:0071897,GO:0051103,GO:0006310,GO:0006260
P17970	GO:0001508,GO:0007268,GO:0008345,GO:0045938,GO:0071805,GO:0006813,GO:0051260,GO:0008016,GO:0034765,GO:0060025
P17971	GO:0008306,GO:0007268,GO:0071805,GO:0006813,GO:0051260,GO:0034765
Q9W3V5	GO:0007213,GO:0007186
P18101	GO:0006464,GO:0002181,GO:0019941,GO:0016567,GO:0006412,GO:0006511
Q7K161	GO:0016311,GO:0046855,GO:0046856,GO:1902093
Q7YZ91	GO:0006355
Q9VA06	GO:0016059,GO:0035556,GO:0007605
Q9VBT8	
Q9VH90	GO:0016477,GO:0007010,GO:0090263,GO:0030177,GO:0016579,GO:0071947,GO:0035523,GO:1990168,GO:0070536,GO:0016055
Q9VU19	GO:0045572,GO:0045944
Q9VW42	
Q9VLM0	GO:0032504
X2JCU8	
P18105	GO:0032837,GO:0051296,GO:0007143,GO:0045132,GO:0007018,GO:0031116,GO:0007057
Q9VKZ0	GO:0048646,GO:0009887,GO:0048468,GO:0007507,GO:0009888
P18106	GO:0051017,GO:0007411,GO:0007391,GO:0046664,GO:0007394,GO:0006468,GO:0042127
Q24154	GO:0002181
Q9V831	GO:0031145,GO:0051301,GO:0007113,GO:0000278,GO:0070979,GO:2000736
P18171	GO:0007304,GO:0007306
Q8T8S1	GO:0030308,GO:0043065,GO:2000436,GO:0051443,GO:0045116
P21525	GO:0048085,GO:0019730,GO:0048674,GO:0048749,GO:0048813,GO:0007391,GO:0009792,GO:0001736,GO:0007163,GO:0007281,GO:0046529,GO:0007254,GO:0045475,GO:0007297,GO:1903688,GO:0045944,GO:0007464,GO:0031660,GO:0009611,GO:0016330,GO:0051124,GO:0035220,GO:0042060
P49455	GO:0007015,GO:0048813,GO:0006936,GO:0048477,GO:0007315,GO:0045451,GO:0010591,GO:0055093,GO:0043149
P91679	GO:0035442,GO:0006857,GO:0015031
Q9VL20	GO:0006357
Q9XZS8	GO:0006955,GO:0055088,GO:0007399,GO:0010883,GO:0006357
P18431	GO:0022416,GO:0008407,GO:0035293,GO:0007623,GO:0009649,GO:0003382,GO:0090163,GO:0007143,GO:0046959,GO:0007507,GO:0008587,GO:0045475,GO:0090090,GO:0046627,GO:0043508,GO:0045879,GO:0045886,GO:0008355,GO:0048477,GO:0030707,GO:0045842,GO:0032436,GO:0045732,GO:1903052,GO:2000060,GO:0006468,GO:0030589,GO:0070884,GO:0042752,GO:0070507,GO:0042306,GO:0030162,GO:0072347,GO:0007622,GO:0007367,GO:0035019,GO:0007051,GO:0051124,GO:0035309
Q9VQL2	
P49415	GO:0007411,GO:0050908,GO:0007427,GO:0021782,GO:0008045,GO:0007517,GO:2000637,GO:0045887
Q23972	GO:0051236,GO:0007275,GO:0017148,GO:0000289,GO:0060213,GO:0043488,GO:0006355
Q9VBQ5	
R9PY16	GO:0008340,GO:0019941,GO:2000242,GO:0016567
P18487	GO:0046208
P20432	GO:0006749,GO:0009636
P47948	GO:0019722,GO:0051300
Q24547	GO:0007349,GO:0006887,GO:0007482,GO:0006886,GO:0000281,GO:0007274,GO:0007269,GO:0017157,GO:0007317,GO:0016081,GO:0031629,GO:0048278,GO:0006906,GO:0016192
Q8IM86	GO:0007268,GO:0061789,GO:0035556,GO:0007528,GO:0007269,GO:0099525,GO:0035249,GO:0016081,GO:0016079,GO:0016188,GO:0016082
Q9VBL3	
Q9VH76	GO:0006887,GO:0006893,GO:0061025,GO:0007269,GO:0031629,GO:0016082,GO:0006906,GO:0016192
Q9VI75	GO:0007268,GO:0048268,GO:0150007,GO:0007270,GO:0042331,GO:2000370,GO:0006898,GO:0048489
Q9VPI9	GO:0035010,GO:0035011,GO:0006909,GO:0035023,GO:0007264
Q9W1I8	GO:0097352,GO:0006887,GO:0007030,GO:1903531,GO:0030100,GO:0031629,GO:0016082,GO:0006906,GO:0016192
Q7JNE1	GO:0048542,GO:0007076,GO:0042752
P20480	GO:0051301,GO:0007059,GO:0032837,GO:0000212,GO:0007018,GO:0001578,GO:0031534,GO:0007100,GO:0090307,GO:0000022,GO:0007052,GO:0051028,GO:1901673,GO:0032888,GO:0007056,GO:0090306,GO:0007051
Q0KI06	
Q24174	GO:0016198,GO:0007298,GO:0048813,GO:0016203,GO:0016319,GO:0000122,GO:0044719,GO:0006355,GO:0007423,GO:0008039
Q24372	GO:0061343,GO:0007156,GO:0035160,GO:0016331,GO:0007424,GO:0035151,GO:0019991
Q29QV5	GO:0070983,GO:0070593,GO:0071678,GO:0001952,GO:0016200
Q3YMU0	GO:0045454,GO:0006457,GO:0034976
Q6WV16	GO:0009312,GO:0006486
Q7K4M9	
Q7KLX3	
Q7KN75	GO:0030261,GO:0007059,GO:0031507,GO:0045727
Q7KU24	GO:0043044,GO:0035042,GO:0043486,GO:0007476,GO:0048477
Q8IGP5	
Q8IMK1	
Q8MR27	
Q8MSZ0	
Q8T092	GO:0010468,GO:0006355
Q9NB71	GO:0007628,GO:0006914,GO:0030509,GO:0040011,GO:0007616,GO:0030514,GO:0010629,GO:0045886,GO:0016567,GO:0008582,GO:2000331,GO:0048678,GO:0050808
Q9TVI0	GO:0006816,GO:0050804,GO:0007274,GO:0030510,GO:0043179,GO:0035249
Q9VAU9	GO:0035167
Q9VI20	GO:0016197,GO:0016567,GO:0030433,GO:0006511
Q9VKJ3	GO:0000724,GO:0006406,GO:0006606
Q9VKQ7	GO:0000122
Q9VL77	GO:0031122
Q9VM04	GO:0035023,GO:0007264
Q9VPX3	GO:0031167
Q9VVI3	GO:0007411,GO:0016199,GO:0008586,GO:0045746,GO:2000650,GO:0007528,GO:0007219,GO:1905306,GO:1905062,GO:0045807,GO:0045732,GO:0002092,GO:0051965,GO:0043161,GO:0000209,GO:0016567,GO:0031623,GO:0048814,GO:0006511
Q9VW34	GO:0005975,GO:0006030,GO:0007424,GO:0035159
Q9VWC0	GO:0006338,GO:0006342
Q9VX32	GO:0007415,GO:0016319,GO:0045792,GO:0050770,GO:0007266
Q9VXR3	GO:0033227,GO:0000209,GO:0016567,GO:0006511
Q9VZJ4	GO:0006798
Q9W0C4	GO:0017187,GO:0018214
Q9W2N8	GO:0042332
Q9W3V3	GO:0016567
X2JE74	GO:0007268,GO:0048749,GO:0007163,GO:0007269,GO:0072657,GO:0016081,GO:0016080
X2JG79	GO:0007010
