A2AQR4	GO:0003676
Q8BUN5	GO:0008013,GO:0043425,GO:0003682,GO:0031490,GO:0005518,GO:0070410,GO:0017151,GO:0003677,GO:0001228,GO:0003700,GO:0003690,GO:0019899,GO:0035259,GO:0042802,GO:0031962,GO:0019902,GO:0070878,GO:0046982,GO:0042803,GO:0019901,GO:0000987,GO:0001102,GO:0000978,GO:0000977,GO:0070412,GO:0043565,GO:0046332,GO:0003712,GO:0000983,GO:0008134,GO:0044212,GO:0030618,GO:0005160,GO:0043130,GO:0031625,GO:0008270
O88643	GO:0005524,GO:0005518,GO:0042802,GO:0004672,GO:0019901,GO:0004674,GO:0048365
Q64729	GO:0048185,GO:0005524,GO:0019838,GO:0070411,GO:0046872,GO:0044877,GO:0046982,GO:0004672,GO:0004674,GO:0005102,GO:0046332,GO:0005024,GO:0050431,GO:0005025,GO:0005114,GO:0031625
O88708	GO:0005524,GO:0003688,GO:0000166
P15927	GO:0003684,GO:0003690,GO:0019899,GO:0098505,GO:0047485,GO:0019903,GO:0043565,GO:0003697,GO:0031625
P25206	GO:0005524,GO:0003677,GO:0004386
P49717	GO:0005524,GO:0004003,GO:0003697
P97310	GO:0005524,GO:0003688,GO:0019899,GO:0004386,GO:0042393,GO:0046872
P97311	GO:0005524,GO:0004003,GO:0042802,GO:0003697
Q60862	GO:0003688
Q62193	GO:0003684,GO:0003677,GO:0003690,GO:0019899,GO:0098505,GO:0047485,GO:0019903,GO:0043565,GO:0003697,GO:0031625
Q9QZ41	GO:0003676,GO:0019901,GO:0043539,GO:0004674,GO:0008270
Q9WUJ8	GO:0003688
Q9WUV0	GO:0005524,GO:0003688
Q9Z1N2	GO:0005524,GO:0003682,GO:0003677,GO:0003688,GO:0046872
O88712	GO:0003700,GO:0042802,GO:0051287,GO:0016616,GO:0030165,GO:0019904,GO:0042803,GO:0070491,GO:0003714,GO:0008134
P70288	GO:0003682,GO:0031490,GO:0019213,GO:0003700,GO:0019899,GO:0031072,GO:0004407,GO:0034739,GO:0042826,GO:0035851,GO:0032041,GO:0051059,GO:1990841,GO:0033558,GO:0000978,GO:0001103,GO:0001226,GO:0043565,GO:0008134
Q99N13	GO:0004407,GO:0042826,GO:0033558,GO:0005080,GO:0070491,GO:0003714,GO:0008134
O88898	GO:0003682,GO:0003684,GO:0003677,GO:0003700,GO:0003690,GO:0042802,GO:0097371,GO:0046872,GO:0002039,GO:0019904,GO:0001077,GO:0043565,GO:0044212,GO:0050699
P02340	GO:0005524,GO:0051087,GO:0003682,GO:0005507,GO:0001046,GO:0097718,GO:0003677,GO:0001228,GO:0003700,GO:0000981,GO:0019899,GO:0035035,GO:0042826,GO:0035033,GO:0042802,GO:0097371,GO:0003730,GO:0002039,GO:1990841,GO:0002020,GO:0008022,GO:0046982,GO:0019901,GO:0047485,GO:0051721,GO:0019903,GO:0043621,GO:0001077,GO:0030971,GO:0000980,GO:0000978,GO:0000977,GO:0001085,GO:0043565,GO:0001094,GO:0001221,GO:0001074,GO:0008134,GO:0044212,GO:0031625
Q9JJP2	GO:0003677,GO:0003700,GO:0000981,GO:0042802,GO:0097371,GO:0046872,GO:0002039,GO:0019901,GO:0001077,GO:0000978,GO:0043565,GO:0008134,GO:0044212
O89033	GO:0005524,GO:0003682,GO:0003688,GO:0019900
Q61881	GO:0005524,GO:0004003,GO:0003697
P00493	GO:0052657,GO:0004422,GO:0042802,GO:0000287,GO:0000166,GO:0042803
Q06507	GO:0003677,GO:0003700,GO:0000981,GO:0043522,GO:0008022,GO:0046982,GO:0019901,GO:0001077,GO:0000980,GO:0000978,GO:0000977,GO:0001085,GO:0043565,GO:0008134,GO:0044212
P45481	GO:0016407,GO:0033613,GO:0008140,GO:0003682,GO:0003684,GO:0097718,GO:0003677,GO:0001228,GO:0004402,GO:0043426,GO:0002039,GO:0042975,GO:0019904,GO:0046982,GO:0001078,GO:0000987,GO:0000977,GO:0001085,GO:0046332,GO:0001093,GO:0003713,GO:0008134,GO:0008270
Q60520	GO:0003682,GO:0003677,GO:0003700,GO:0044877,GO:0033558,GO:0003723,GO:0001102,GO:0001103,GO:0003714,GO:0008134,GO:0000976
Q9Z1E3	GO:0019899,GO:0031072,GO:0042802,GO:0051059,GO:0008139,GO:0044877,GO:0031625
Q9Z2U2	GO:0003677,GO:0046872,GO:0001077
P28574	GO:0003677,GO:0003700,GO:0070888,GO:0044877,GO:0046982,GO:0042803,GO:0001078,GO:0000978,GO:0000977,GO:0043565,GO:0000983
Q9JHE6	GO:0003700,GO:0001227,GO:0046982,GO:0042803,GO:0001078,GO:0000977,GO:0043565,GO:1990837,GO:0003712,GO:0003714,GO:0008134
P42227	GO:0031730,GO:0031490,GO:0003677,GO:0001228,GO:0003700,GO:0000981,GO:0035259,GO:0042802,GO:0004879,GO:0046983,GO:0042803,GO:0019901,GO:0019903,GO:0001077,GO:0000978,GO:0001103,GO:0043565,GO:0008134,GO:0044212
P54841	GO:0003677,GO:0003700,GO:0000981,GO:0046982,GO:0042803,GO:0001077,GO:0000978,GO:0043565,GO:1990837,GO:0008134
